Student ID,Name,Age,Gender,Attendance,Participation,CS101A,CS102A,CS103A,CS104A,CS105A,CS106A,CS107A,CS108A,CS109A,CS1010A,CS1011A,CS1012A,CS1013A,CS1014A,CS1015A,CS1016A,CS1017A,CS1018A,CS1019A,CS1020A,CS1021A,CS1022A,CS1023A,CS1024A,CS1025A,CS1026A,CS1027A,CS1028A,CS1029A,CS1030A,CS1031A,CS1032A,CS1033A,CS1034A,CS1035A,CS1036A,CS1037A,CS1038A,CS1039A,CS1040A,CGPA
ST-30729,SKBERSW,26,Female,98.65566818,86.68823932,A,A,B,B,A,B,A,A,B,A,A,A,B,A,A,A,B,B,B,A,A,B,B,A,B,A,A,B,A,A,B,A,A,A,B,B,B,B,B,A,3.55
ST-91345,MFIGNTR,26,Male,58.88443158,54.12442688,F,C,C,B,E,F,B,D,B,D,E,B,D,E,F,E,D,B,B,E,C,D,D,E,B,E,B,E,C,E,B,B,C,D,E,E,F,D,E,B,1.425
ST-00342,BPWZJLD,18,Female,64.39096664,92.43139093,B,A,D,B,B,A,A,D,C,B,D,A,A,B,B,D,A,D,D,B,D,C,D,A,A,C,A,D,D,A,C,B,A,D,C,A,C,A,D,A,2.6
ST-51229,MAMDYKQ,23,Female,76.76543746,69.61382567,B,C,D,C,C,C,D,D,D,B,D,D,D,C,D,D,C,C,A,D,D,D,D,D,A,C,B,A,B,A,B,D,D,B,A,A,A,D,C,D,2.05
ST-17269,FKCAMUF,23,Male,70.25113981,57.05871887,A,B,E,B,A,B,A,C,D,D,A,C,D,A,D,C,A,A,D,D,A,B,B,C,B,E,C,C,A,D,D,C,D,D,B,D,B,A,C,C,2.35
ST-59001,UODYZFS,23,Male,57.77030365,93.80660507,A,C,A,D,B,D,B,C,D,B,A,A,D,D,A,C,C,A,B,C,D,C,A,B,C,C,C,B,C,A,B,B,A,D,C,A,A,D,A,B,2.625
ST-34090,DSZIFXD,26,Female,93.68159006,50.47257537,D,B,B,A,B,D,B,C,A,D,D,A,B,B,D,B,A,A,A,D,C,B,B,C,A,A,A,A,D,D,D,B,D,A,C,D,D,D,A,A,2.575
ST-75724,VDGHZCQ,26,Female,97.36486914,63.32738993,A,C,B,B,A,B,A,B,C,B,C,B,B,C,C,B,A,A,C,B,C,B,A,A,C,A,C,A,C,C,C,C,C,A,B,A,B,C,C,C,2.85
ST-06794,EGARGYR,19,Male,74.09973635,96.15910513,C,A,C,B,C,B,A,B,C,B,B,A,B,C,C,A,C,B,B,C,A,A,C,A,B,B,A,A,A,A,C,C,B,B,C,B,A,B,B,C,2.975
ST-40879,APTCMNZ,18,Female,58.10763585,77.49995007,C,A,B,D,D,E,D,E,A,B,B,B,A,D,C,C,D,C,D,B,C,B,B,E,B,C,C,E,E,C,D,D,D,E,C,C,A,C,E,D,1.888
ST-84236,QZPTNYB,19,Male,53.8682482,95.18868515,D,C,B,A,D,D,B,A,A,B,A,C,C,A,A,A,A,D,B,D,D,A,D,D,A,D,C,A,C,A,B,C,C,B,B,C,B,B,D,D,2.55
ST-63227,TVPMNQN,19,Male,97.99049065,58.64018247,C,B,C,D,C,A,C,C,D,D,A,C,A,D,C,A,D,A,A,B,A,B,D,D,C,D,B,C,C,C,C,B,C,D,A,B,C,D,C,D,2.275
ST-68252,GQAVJBZ,25,Female,75.84855566,69.00618151,A,C,D,A,B,B,A,D,B,D,C,C,A,B,B,A,D,B,C,C,D,C,D,A,C,C,B,B,B,A,C,D,A,C,B,D,A,B,D,A,2.55
ST-73337,DWLZLOE,25,Male,76.02681897,70.86608493,B,C,A,C,B,A,D,A,B,A,D,C,D,A,C,D,D,D,B,D,B,B,A,C,B,B,A,C,B,C,D,C,B,B,D,C,B,A,A,C,2.525
ST-58839,KDALSRP,23,Female,86.22885043,91.47508033,A,C,B,C,B,C,C,A,C,A,A,B,A,B,A,C,B,A,B,C,C,A,B,A,A,A,B,C,C,C,C,C,A,A,A,A,B,B,C,B,3.025
ST-15589,SPZVXND,24,Female,92.6782353,50.49664771,B,A,A,D,D,C,B,C,C,D,C,A,B,C,A,C,A,B,A,A,C,D,C,D,A,D,C,D,C,A,C,D,B,C,C,B,D,C,B,A,2.45
ST-93097,IKPNKAV,20,Female,90.87882564,82.18159596,B,C,C,B,B,B,C,B,A,C,B,B,A,B,C,C,A,A,C,A,C,C,A,A,B,B,C,B,A,C,A,C,C,C,C,A,A,B,B,A,2.925
ST-28038,DYSJEJU,26,Female,66.8403059,60.93199219,B,A,C,C,C,D,C,C,B,C,D,A,D,B,C,A,D,D,B,E,A,A,C,E,B,B,C,D,D,C,E,C,A,D,B,D,A,A,A,D,2.262
ST-79918,CTNHBZF,23,Female,84.2343039,86.66750545,B,A,A,B,B,A,C,C,C,B,A,B,C,B,A,C,A,C,C,C,B,A,A,A,C,C,A,C,C,A,A,A,B,A,B,A,B,A,B,B,3.1
ST-95066,WJDVVNI,21,Male,67.56682906,60.4553379,D,A,A,A,E,C,B,B,B,C,C,E,A,D,A,E,C,E,C,B,E,C,E,B,B,A,C,E,C,B,A,E,E,A,D,C,A,D,D,E,2.125
ST-29215,XTWNYHR,21,Male,65.86289696,71.02064462,B,D,C,C,C,E,C,B,A,B,C,C,E,B,C,B,B,C,D,B,D,B,C,D,B,D,B,E,D,D,E,B,A,E,D,E,A,E,E,B,1.95
ST-47858,TZXITHC,25,Female,82.75684445,63.98632808,A,B,D,B,B,A,B,A,A,A,B,A,A,A,C,A,C,C,A,B,B,D,A,D,C,B,C,A,A,C,B,C,D,A,C,A,D,C,D,A,2.875
ST-29300,JHDOARU,20,Male,59.42095756,73.04136364,E,A,E,E,D,C,B,B,D,B,B,B,A,D,A,C,C,B,C,C,D,D,C,B,E,C,E,E,D,B,A,E,C,A,D,D,E,D,A,C,1.975
ST-42861,SMUXHSV,20,Male,99.34058473,62.18542984,A,C,C,A,C,A,A,A,C,C,B,C,B,C,A,A,C,C,A,A,B,C,C,A,C,B,A,A,C,C,C,C,A,B,C,B,B,A,B,B,2.925
ST-26925,BSQVEKX,26,Male,92.01715122,75.81548826,A,B,B,A,B,A,B,C,B,C,C,A,A,A,C,C,B,A,B,B,B,A,A,B,C,A,C,C,A,A,B,A,A,C,C,C,C,A,A,C,3.075
